Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
4280.0,394,802.8263,181249,67496,113699,0.01479
4290.0,394,802.7586,181643,67550,114039,0.01478
4300.0,394,802.6884,182037,67604,114379,0.01477
4310.0,394,802.6189,182431,67658,114719,0.01477
4320.0,394,802.5492,182825,67712,115059,0.01476
4330.0,394,802.4821,183219,67766,115399,0.01475
4340.0,394,802.4152,183613,67820,115739,0.01474
4350.0,394,802.3453,184007,67874,116079,0.01474
4360.0,394,802.2794,184401,67928,116421,0.01473
4370.0,394,802.2208,184795,67980,116763,0.01472
4380.0,394,802.163,185189,68032,117105,0.01471
4390.0,394,802.1027,185583,68084,117447,0.01471
4400.0,394,802.0416,185977,68136,117789,0.0147
4410.0,394,801.981,186371,68188,118131,0.01469
4420.0,394,801.9204,186765,68240,118473,0.01468
4430.0,394,801.8618,187159,68292,118815,0.01468
4440.0,394,801.8032,187553,68344,119157,0.01467
4450.0,394,801.7431,187947,68396,119499,0.01466
4460.0,394,801.6832,188341,68448,119841,0.01465
4470.0,394,801.6215,188735,68500,120183,0.01465
4480.0,394,801.5606,189129,68552,120525,0.01464
4490.0,394,801.4991,189523,68604,120867,0.01463
4500.0,394,801.4409,189917,68656,121209,0.01462
4510.0,394,801.38,190311,68708,121551,0.01462
4520.0,394,801.32,190705,68760,121893,0.01461
4530.0,394,801.2614,191099,68812,122235,0.0146
4540.0,394,801.203,191493,68864,122577,0.0146
4550.0,394,801.1419,191887,68916,122919,0.01459
4560.0,394,801.0819,192281,68968,123261,0.01458
4570.0,394,801.024,192675,69020,123603,0.01457
4580.0,394,800.9635,193069,69072,123945,0.01457
4590.0,394,800.9059,193463,69124,124287,0.01456
4600.0,394,800.8483,193857,69176,124629,0.01455
4610.0,394,800.7903,194251,69228,124971,0.01454
4620.0,394,800.7324,194645,69280,125313,0.01454
4630.0,394,800.6749,195039,69332,125655,0.01453
4640.0,394,800.6168,195433,69384,125997,0.01452
4650.0,394,800.5552,195827,69436,126339,0.01452
4660.0,394,800.4942,196221,69488,126681,0.01451
